Question,Answer
"Zscaler Client Connector Enforcement","By creating a tunnel to the Zero Trust Exchange for protecting SaaS and internet-bound traffic."
"App Connectors","Secure authenticated interfaces between customer servers and the ZPA cloud."
"Browser Access","Provides connectivity through a web browser to HTTP and HTTPS applications without installing Zscaler Client Connector."
"ZTunnel - Packet Filter Based mode","A mode that creates packet filters on Windows to steer traffic towards the Zscaler Client Connector."
"ZTunnel - Route-Based mode","It creates route table entries and instruments an additional network adapter for traffic routing."
"ZTunnel with Local Proxy","A mode that deploys a system proxy to localhost, directing traffic to the Zscaler cloud."
"ZTunnel 1.0 vs ZTunnel 2.0","ZTunnel 1.0 uses HTTP CONNECT method, while ZTunnel 2.0 uses DTLS with fallback to TLS, supporting all client traffic."
"Trusted Network Detection","To determine if a user is on a trusted network based on criteria like hostname, IP address, and DNS servers."
"Authenticated Tunnel Options","ZTunnel - Packet Filter Based, ZTunnel - Route-Based, and ZTunnel with Local Proxy."
"ZTunnel 2.0 Advantage","ZTunnel 2.0 supports DTLS for faster transport and provides a control channel for real-time updates."
"Traffic Handling in ZTunnel","It intercepts traffic at the network level and forwards it through an encapsulated tunnel to the Zscaler platform."
"Browser-based Access Capability","Access to HTTP and HTTPS applications as well as privileged remote access applications without the need for Zscaler Client Connector."
"Zscaler Client Connector Feature","It provides a consistent experience across all platforms with strict enforcement options."
"User Attribution in Zscaler Client Connector","Through transparent authentication and the installation of Zscaler or custom SSL inspection certificates."
"Hostname and IP in Trusted Network Detection","To determine if a specific FQDN resolves to an IP address, indicating a trusted network."
"DNS Search Domains in Trusted Network Detection","By matching the DNS search domain provided by DHCP with the trusted network criteria."
"DNS Server Criteria Importance","The client checks if the primary network adapter's DNS server matches the trusted network configuration."
"Multiple Trusted Networks Purpose","To make decisions on which forwarding profile matches the desired outcome for different networks."
"Forwarding Profile Utilization","By selecting trusted network criteria from a predefined list to apply to the forwarding profile."
"Best Practices for Forwarding Profiles","Use tunnel mode, specifically ZTunnel 2.0, to capture all traffic and tunnel it to Zscaler within a DTLS tunnel."
"Default Configuration in ZTunnel 2.0","Default to DTLS with the ability to fall back to TLS as necessary."
"System Proxy Settings Migration Recommendation","Enforce a no-proxy configuration when using tunnel mode."
"Automatically Detect Settings Proxy Action","The client sends a WPAD (Web Proxy Auto-Discovery) lookup to find a proxy."
"Use Automatic Configuration Script Proxy Action","Configures the Zscaler Client Connector to set a custom system PAC file to download and run, explicitly proxying traffic."
"Use Proxy Server forYour LAN Proxy Action","A hard-coded proxy import with the ability to bypass local addresses."
"GPO Update Purpose in Proxy Settings","To provide a GPO update/force from Active Directory to set the proxy settings on the machine."
"Understanding GPO Updates Importance","To avoid conflicts between forcing proxy settings and using WPAD scripts."
"Forwarding PAC Significance","With tunnel mode configuration, avoid setting any forwarding PAC file to natively intercept traffic and tunnel it to the Zero Trust Exchange."
"Application Profile Function in Zscaler","Maps forwarding profiles to different users and devices based on specific criteria."
"App Profile PAC URL Role","Defines the Zero Trust Exchange node to be used based on the client's geographic IP information."
"Custom PAC URL Configuration Item","In an application profile."
"Custom PAC URL","References the PAC file configured in the ZIA Admin Portal to make decisions on traffic forwarding or bypassing."
"Override WPAD","Prevents the system GPO WPAD configuration and ensures the forwarding profile's WPAD configuration is used."
"Restart WinHTTP","Ensures the system refreshes proxy configuration once Zscaler Client Connector is established, specific to Windows devices."
"Zscaler SSL Certificate","If not pushing own certificates, enabling this option uses the certificate provided by Zscaler for SSL inspection."
"Tunnel Internal Client Connector Traffic","Health updates and policy traffic pass through Zscaler tunnels towards the Zero Trust Exchange."
"Cache System Proxy","Stores the system proxy state from before installation and reverts to previous settings if the connector is uninstalled or disabled."
"Supportability in Zscaler Client Connector","Ensures business continuity in case of issues with updates, allowing for reverting to previous versions if necessary."
"Zscaler root CA","The Zscaler root CA as well as custom root CAs can be deployed within an organization."
"SSL certificates in app profile","Ensuring that the SSL certificate is installed."
"Bypassed applications in Z-Tunnel 2.0","Microsoft Teams or Zoom traffic."
"Default address range in Z-Tunnel 2.0","The default 0.0.0.0/0 address range and all ports 1 to 65,535 TCP and UDP."
"Zscaler as DNS resolver","Zscaler acts as a DNS resolver."
"Handling DNS requests from DHCP","The client may query that directly, and Zscaler will see the traffic once it comes through and make a DNS re-resolution request."
"Forwarding Profile PAC files","Steering traffic toward or away from the Client Connector."
"App Profile PAC files","They steer traffic towards or away from the Zscaler Cloud after the Client Connector receives it."
"Forwarding Profile PAC purpose","It states which HTTP proxy is going to be used for a specific URL."
"Application Profile PAC routing","It routes traffic after interception and determines the geographically closest Zscaler Enforcement Node (ZEN)."
"PAC files on ZIA Admin Portal","They take a URL and a host as input and return an answer of sending the traffic 'DIRECT' or 'PROXY'."
"Migrating existing PAC files to Zscaler","By using Tunnel with Local Proxy and configuring the browser to treat Zscaler Client Connector as a proxy."
"Browser behavior in PAC to tunnel mode","The browser will lose the definition of what constitutes an intranet site, potentially prompting user authentication for intranet sites."
"Defining intranet sites in tunnel mode","By explicitly defining them within the intranet zone and using configurations like the AuthServerAllowList."
"Key characteristic of ZTunnel 2.0","It can include or exclude traffic at the adapter level and pass it into the Z-Tunnel 2.0."
"Z-Tunnel 1.0 interception","Traffic at the network layer on ports 80 or 443."
"Tunnel with Local Proxy configuration requirement","A Forwarding Profile PAC to target traffic directly to the local listener on Zscaler Client Connector."
"Traffic routing in route-based mode","Through a routed adapter configured on the machine, following the routing table."
"Application PAC role in route-based mode","It processes the traffic and routes it either to the Zscaler cloud or directly to the internet."
"Tunnel 2.0 configuration exclusion","The RFC 1918 address space."
"Handling DNS requests by Zscaler","They are tunneled to the Zscaler cloud for DNS resolution."
"Forwarding Profile PAC control","The system PAC file and the HTTP proxy to be used for a URL."
"Result of using Forwarding Profile PAC for local proxy","It points traffic at the loopback address or another explicit proxy."
"Primary function of an App Profile PAC","To steer traffic towards or away from the Zscaler cloud."
"Zscaler DNS resolution","By intercepting DNS requests and redirecting them to the Zscaler cloud."
"Seamless authentication to intranet sites in tunnel mode","Define intranet sites in the browser configuration, such as the intranet zone and AuthServerAllowList."
"Non-80 and non-443 traffic in Z-Tunnel 1.0","It bypasses Zscaler Client Connector and routes directly to the internet."
"Tunnel with Local Proxy configuration reliance","Proxy-aware applications that understand the Zscaler Client Connector."
"First step when launching Zscaler Client Connector","The first step is to enroll and authenticate to understand the user, apply policy, create tunnels, and identify the user through those tunnels."
"Communication upon launch of Zscaler Client Connector","It communicates with the mobile admin portal (Zscaler Client Connector Portal) to understand the user's domain and SAML identity provider."
"After IdP redirect","The user is redirected to their SAML IdP (e.g., Okta, ADFS, Azure AD), signs in, and receives a SAML response within Zscaler Client Connector."
"Zscaler Internet Access with SAML response","It consumes the response, validates it, and if valid, sends an authentication token back to Zscaler Client Connector."
"Zscaler Client Connector with authentication token","It provides the token to the Zscaler Client Connector Portal, which validates the token and registers the device."
"Information passed to Zscaler Internet Access","The portal passes device registration information to Zscaler Internet Access."
"Credentials provided after enrollment","It provides client credentials for authenticating user requests through the Zscaler service."
"Initial step in Zscaler Private Access (ZPA) enrollment","The client is launched as part of the authentication process, understanding the user's domain from Zscaler Internet Access enrollment."
"Second IdP redirect in ZPA enrollment","Zscaler Client Connector talks to the SAML IdP, signs in transparently, and may undergo multifactor authentication."
"SAML response in ZPA enrollment","It provides the response token and registers the device into Zscaler Client Connector Portal."
"Zscaler Private Access after device registration","It generates Zscaler Client Connector certificates and enrolls the device in Zscaler Private Access."
"Zscaler Client Connector after ZPA enrollment","It generates secure tunnels to the Zero Trust Exchange for downloading profiles and settings."
"Network change in Zscaler Client Connector","It performs a full refresh of applications, app profiles, forwarding profiles, PAC files, and policy."
"Zscaler Client Connector software update check frequency","Every two hours."
"Zscaler Client Connector policy update download frequency","Every hour."
"Zscaler Client Connector PAC file download frequency","Every 15 minutes."
"Manual update initiation in Zscaler Client Connector","Through the administration interface to force a check for software updates or policy changes."
"Purpose of password protection in Zscaler Client Connector","To prevent users from logging out, disabling, or uninstalling the application."
"One-time password in Zscaler Client Connector","A unique, per-device password generated on enrollment and changing when used."
"Availability of one-time password","In the device information."
"Recommended password usage for administrators and support teams","The one-time, per-device password."
"Device Posture in Zscaler Client Connector","It enables a level of trust of the device as part of the Zero Trust Network Access policy."
"Device posture checks capabilities for Windows and Mac","They can check for all available posture checks."
"Device posture checks limitations for iOS and Android","They have limited capabilities based on their ability to understand if disk encryption is enrolled or lack functionality for domain-joined devices."
"Common example of a BYOD posture check","Checking if the device trusts a root CA internal to the organization."
"Indicators of a corporate device","A corporate device will be domain-joined and have certain registry entries or files."
"Client certificate checks by Zscaler Client Connector","It can ensure the client certificate has a non-exportable private key."
"Device security aspects checked by Zscaler Client Connector","Anti-Virus, OS Version, Disk Encryption, and Firewall status."
"Third-party endpoint protection tools interfacing with Zscaler Client Connector","Tools like CarbonBlack, CrowdStrike, SentinelOne, Defender, and the CrowdStrike ZTA score."
"Action taken if Defender reports a compromised device","Access to an application can be prevented."
"Download location for the Client Connector install file","The install file is available through the Zscaler Client Connector Portal."
"Hosting service for Client Connector install files","The install files are hosted on AWS."
"Reference for installing Client Connector on devices","Always refer to the online help for each of the command line installation options."
"Command line options for Client Connector installations","Command line options exist for Windows, Mac, and Linux clients."
"Requirement of strictEnforcement option during installation","The strictEnforcement option requires cloudName and policyToken options."
"Tools for distributing Client Connector to managed devices","Intune (Windows) and Jamf (MacOS)."
"Group-based updates application for Client Connector","Group-based updates can be readily applied for automatic rollout."
"Log export location for installation issues","Logs can be exported from within the client."
"Manual log retrieval locations for Windows and MacOS","Windows: c:\ProgramData\zscaler, MacOS: ~/Library/Application Support/com.zscaler.Zscaler/ or /var/log/zscaler."
"Function of App Connectors","App Connectors provide a secure authenticated interface."
"Deployment method for App Connectors","Always deploy App Connectors as a pair (minimum) and as a different Connector Group in separate data centers."
"Minimum requirements for deploying App Connectors","Ensure App Connectors can route to the internet and internal applications, meet the minimum VM requirements, and can connect to applications for health checking."
"Handling of provisioning keys","Treat provisioning keys as credentials and do not share in cleartext."
"Definition of application segments","Applications must be defined within an Application Segment, starting with a wildcard (e.g., *.company.com)."
"Purpose of Dynamic Server Discovery","Dynamic Server Discovery allows server groups or connectors to automatically perform DNS resolution and create synthetic server associations."
"Connectivity method of Browser Access (BA)","Browser Access provides connectivity through a web browser without the Zscaler Client Connector being installed."
"Benefits of Browser Access","Provides authenticated private website access to third parties, access without a VPN or client software, and inspects requests/responses with App Protection."
"User authentication handling in Browser Access","User is redirected to the appropriate IDP for authentication when they type in the URL of the internal web application or User Portal."
"Function of Privileged Remote Access (PRA)","PRA provides authenticated access to jumphosts, workstations, servers, and IT/OT equipment from a browser."
"Key use case for Privileged Remote Access","Supporting BYOD devices to provide secure access for contractors, suppliers, and other third parties to perform privileged access."
"Fundamental capabilities in Zscaler's Platform Services","Private Service Edges, Device Posture, TLS Inspection, Policy Framework, and Analytics & Reporting."
"Purpose of Zscaler's Platform Services in the Zero Trust Exchange","To provide fundamental capabilities that interact with other services within the Zero Trust Exchange and to configure Zscaler's Platform Services as they relate to best practices."
"Service suites interacting with Zscaler's Platform Services","Connectivity, Access Control, Security, and Digital Experience."
"Device Posture in Zscaler's Platform Services","It is part of the platform services suite that consumes posture from other functionalities in the Zero Trust Exchange, such as Browser Access and Zscaler Client Connector."
"SAML response related to Device Posture","Device Attributes."
"Information provided by Device Posture based on SAML response","Device management status, compliance with corporate policy, and whether the device is managed by Intune or another system like SCCM."
"TLS Inspection in Zscaler's Platform Services","Inspection of content to apply various Access Control, Cyber Protection, and Data Protection functionalities based on the content of encrypted communications."
"Percentage of TLS traffic Zscaler decrypts and inspects","100%."
"Assurance provided by Zscaler with TLS Inspection","Optimal cipher selection and key safeguards."
"Risk mitigated by Zscaler through TLS Inspection","Any access risk."
"Measurable aspects with Zscaler's TLS Inspection","Coverage, value, and gain instant awareness."
"First facet of how TLS inspection works in the Zero Trust Exchange","Access Control—applying policy based on the request and the response."
"Second facet of TLS Inspection regarding compromise","Inspecting the payload for malware, antivirus, Advanced Threat Protection, IPS signature, and cloud sandbox functionality."
"Third facet of TLS Inspection regarding Data Loss","Inline DLP scanning to prevent data leakage and providing Granular Application Controls."
"Scalability of Zscaler's platform regarding SSL transactions","It's scalable, assuming 100% of transactions will be SSL and could be decrypted."
"Consequences without TLS Inspection","Security controls are blind to malicious payloads, data leakage, and emerging threats."
"Necessity of TLS Inspection for corporate devices accessing the internet","To prevent major security breaches by inspecting encrypted HTTPS transactions."
"TLS Inspection","Security controls are blind to malicious payloads, data leakage, and emerging threats without it."
"Importance of TLS Inspection","Necessary for corporate devices accessing the internet to prevent major security breaches by inspecting encrypted HTTPS transactions."
"Visible Information in Encrypted HTTPS","Only the Server or Domain Name is visible without inspection."
"Decrypted HTTPS Transaction Visibility","HTTP Headers, Request and Response Headers, Full Request URL, Request Method, and all of the Payload become visible when decrypted."
"Private Service Edges in Zscaler","They are a fundamental capability that supports secure, direct connections to internal applications."
"Configuration in Zscaler's Platform Services","The fundamental set of capabilities, such as policy frameworks, TLS inspection parameters, and device posture settings can be configured."
"Zscaler's Device Posture Integration","It consumes posture information from other functionalities like Browser Access and Zscaler Client Connector."
"Policy Frameworks in Zscaler","They allow for the construction, consumption, and passing of policy to various functions like Connectivity, Access Control, Security, and Digital Experience."
"Zscaler's Analytics & Reporting","Provides insights and data to measure coverage, value, and troubleshoot issues."
"Intermediate Certificates in TLS Inspection","Generated at line speed for all users and locations, ensuring the best security and data protection outcomes."
"Granular Application Controls","Controls applied not just on the FQDN or URL but across the entire URI being connected to."
"Zscaler Client Connector in Device Posture","Helps in assessing the posture of a device by integrating with the Connectivity Services suite."
"Identity Integration in Device Posture","Helps in determining device attributes through SAML authentication requests."
"Device Compliance in Device Posture","Ensures that the device adheres to corporate policies, which is necessary for applying security policies."
"ZIA in SSL Inspection","Zscaler Internet Access (ZIA) is a forward proxy performing SSL man-in-the-middle inspection."
"ZIA SSL Certificate Handling","Generates a certificate on the fly, signed by a trusted issuer, and provides it back to the client."
"ZPA in SSL Inspection","Zscaler Private Access (ZPA) acts as a reverse proxy, becoming the web server that the user connects to."
"ZPA SSL Certificate Handling","The App Connector or the ZPA Service Edge provides a real service certificate back to the client."
"Identifying SSL Inspection by Zscaler","Clients can check the certificate chain within their browser session to see which certificate is being used."
"Primary Purpose of SSL Inspection","To ensure business security by preventing malware infections and data leaks."
"Legal and Privacy Teams Buy-in for SSL Inspection","Ensures understanding and agreement on the necessity of SSL inspection for business security."
"Communication Plan for SSL Inspection","Informing users about the purpose, updating the acceptable usage policy, and providing notifications."
"Root CA Enrollment in SSL Inspection","Ensuring all client devices trust the certificates inspected by deploying root certificate authorities."
"Default SSL Inspection Method by Zscaler","Using the Zscaler root certificate authority with a Chain of Trust."
"Alternative to Zscaler's Default Certificate Authority","Using a dedicated root certificate authority created offline specifically for SSL inspection."
"Using Existing Enterprise Root Certificate Authority","By generating an intermediate certificate authority from their existing root and uploading it to Zscaler."
"Tool for Installing Zscaler SSL Certificate","Zscaler Client Connector can automatically install the Zscaler SSL certificate on client devices."
"Initial Roll-out of SSL Inspection","Inspect traffic for a select group of users and collect feedback on their experience."
"Granular Policy Framework in SSL Inspection","Enables making decisions based on user, group, department, URL category, cloud application, and more."
"Importance of Enforcing Secure TLS Usage","Ensures minimum TLS versions are supported and validating certificates."
"Handling M365 OneDrive and SharePoint in SSL Inspection","By using Zscaler One-Click configuration to exclude them from inspection."
"Pilot Rule Set for SSL Inspection","Inspect specific categories, block untrusted certificates, perform OCSP revocation checks, and block undecryptable traffic."
"Understanding Other Traffic during SSL Inspection","Important to block them within the firewall, forcing clients to use normal HTTP/HTTPS for inspection."
"Challenges during Extended Roll-out of SSL Inspection","Issues with certificate pinning, developer environments, IoT environments, and services like Office 365."
"Certificate Pinning","Involves a client expecting a specific certificate, which can cause the man-in-the-middle certificate to be untrusted."
"Resolving Certificate Pinning Issues","By identifying and configuring clients to treat the man-in-the-middle certificate as valid or bypassing SSL inspection for those applications."
"Common Use Case for Certificate Pinning","iOS and Android often use certificate pinning or hard-coded certificates."
"DigiCert Recommendation on Certificate Pinning","DigiCert recommends not using certificate pinning due to potential issues with SSL inspection."
"Role of Zscaler Service Edge in SSL Inspection","Sits between the client and the web server, handling SSL certificate validation and generation."
"Purpose of OCSP Checks in SSL Inspection","To check whether a certificate is valid or has been revoked."
"Importance of Blocking Undecryptable Traffic","To ensure all traffic can be inspected and secured."
"Handling Payload Content during SSL Inspection","By obfuscating user and device data and never storing the content on disk."
"Defining Acceptable Usage Policy for SSL Inspection","To communicate the purpose and guidelines of SSL inspection to users and ensure compliance."
"Primary Goal of Zscaler's SSL Inspection at Scale","To provide secure and efficient traffic inspection while maintaining user privacy and business security."
"Packet Capture in Troubleshooting","Helps you understand what's going on by looking at the certificate when the client makes the request and seeing if the client trusted the certificate or closed the connection."
"ZIA Admin Portal for Failed Handshake","Look at the SSL logs for the transactions."
"Bypassing Inspection Decision Basis","Based on the specific operating system, combined with an application, or the user agent."
"Bypassing Inspection","Based on the specific operating system, combined with an application, or the user agent."
"Capabilities Measurement","The capabilities such as how much SSL inspection, decryption, malware, and DLP have been done."
"Go-To Reports for Success","The Protocol Report, Security Audit Report (Cyber Risk Report), and SSL Policy Reason field."
"Zero Trust Exchange Authentication","By mapping the domain (after the @) to the Identity Provider and redirecting the user to authenticate."
"User Redirection in Browser-Based Access","The user is automatically redirected to the Identity Provider."
"SAML IdP Assertions","Zscaler consumes that assertion and makes decisions on which parts of the Zero Trust Exchange the user is entitled to connect to."
"Zscaler Client Connector Information","Information about the user's network policy, which network the user is on, and what services should be enabled."
"User Connection Decisions","Based on the network policy and information from the Zscaler Client Connector."
"SSL Traffic Inspection Factors","Whether traffic should be inspected, how to handle errors with the original web server certificate, and conditions like unsigned, invalid date, or missing SNI."
"Mapping to Identity Provider","By installing it with user domain and cloud name information."
"Multiple Identity Providers Necessity","During Mergers & Acquisitions or Cloud Migration."
"Configuration for Multiple Identity Providers","Adding IDPs and configuring domains to map Identity Providers to user domains."
"User Redirection with Multiple Identity Providers","The user may be prompted to enter a credential to determine the Identity Provider."
"Improving User Experience with Identity Providers","By making decisions on behalf of the user based on context, reducing the need for user prompts."
"Post-Authentication Process","SAML attributes are consumed and passed to the Zscaler Client Connector Portal, where the policy controls service entitlement."
"Service Entitlement Configuration Steps","Adding IDPs, configuring group attributes, and setting the entitlement policy in the Zscaler Client Connector Portal."
"Factors Influencing Zscaler Internet Access","Device posture (managed or unmanaged) and group attributes."
"SCIM Attributes Synchronization","Periodically, or immediately if using SAML, to update group memberships and policies."
"Importance of Logging","It allows organizations to report on user activity and perform analytics for future policy decisions."
"Log Router Function","It decides where the transaction logs will be stored."
"Transaction Logs Analysis","The Zscaler data lake."
"Reporting and Analytics Production","An administrator connects to the UI server that queries both the log clusters and the data lake."
"Access Control to UI Server","Role-based administrator control."
"Obfuscation Principle","The Four Eyes Principle."
"Logged Transactions","Web (including SSL), Firewall, and Sandbox transactions."
"Content Storage in Enforcement Node","No, only the transaction is logged."
"Stored Transaction Types","Only those that are different."
"Data Reduction Benefit","It reduces the time to transmit logs from Zero Trust Exchange service points to the logging infrastructure."
"Data Size Reduction Process","Tokenization."
"Tokenizing and Compressing Logs Result","A 50-to-1 or greater compression rate and efficient indexing for analysis."
"Types of Reports from Logging Data","SSL and certificate reports, URL category reports, dashboards showing company risk score, security audit reports, and threat insight reports."
"Trending Data Analysis Purpose","How traffic flows through the platform and where applications are accessed."
"Zscaler Executive Insights Tool","Enables executives to get instant reports on how Zscaler is helping their business."
"Insights for Threat Hunting Teams","Forensic reports, historical sandbox data, and detailed information on patient zero potential infections."
"Zscaler Digital Experience (ZDX)","Monitors user experience issues."
"Unified View Benefit of ZDX","It helps IT teams optimize performance and rapidly fix issues."
"Causes of Low ZDX Score","App issues, local Wi-Fi, device metrics, DNS, device events, egress latency, app availability, and network congestion."
"ZDX Features","Visibility into SaaS & Private Applications, UCaaS Monitoring, Software & Device Inventory, Y-Engine (Automated Root Cause Analysis), ZDX APIs."
"UCaaS Monitoring Purpose","To gain insights and troubleshoot performance issues with Microsoft Teams and Zoom."
"Software Inventory Feature in ZDX","Current and historical information about software versions and updates on users' devices."
"Device Inventory Feature in ZDX","Current information about organization's devices and their associated users."
"Y-Engine in ZDX","Automated Root Cause Analysis for performance issues."
"ZDX APIs Integration","They provide additional insights and trigger remediation workflows."
"ZDX Use Case for Hybrid Work","Real-time Detection of SaaS Outages."
"ZDX Use Case for Performance Comparison","Baselining Performance Between Office and Working from Anywhere."
"ZDX Home Network Issue Detection","By Detecting Employee Home Wi-Fi Issues."
"ZDX Hardware Performance Issue Detection","Detecting High CPU Causing Application Degradation."
"ZDXVisibility Beyond SaaS Applications","Visibility into Private Applications via ZPA."
"Compression Rate","A highly efficient 50-to-1 or greater compression rate and indexed logs for rapid analysis."
"Types of Reports","Interactive reports, SSL and certificate reports, URL category reports, and security audit reports."
"Trending Data Analysis","Helps organizations understand traffic flow and compare capabilities with industry standards."
"Zscaler Executive Insights","Instant reports on Zscaler's impact on business and threat reduction."
"Forensic Reports","Historical sandbox data and detailed information on potential infections."
"Challenges from Cloud and Mobility","New monitoring challenges for IT teams, requiring a user perspective monitoring approach."
"Common Issues Affecting ZDX Score","App issues, local Wi-Fi problems, device metrics, DNS issues, and network congestion."
"ZDX and Application Performance","Ensures application performance through detailed monitoring and insights."
"ZDXVisibility Feature","Visibility into SaaS & Private Applications."
"UCaaS Monitoring","Insights and troubleshooting for Microsoft Teams and Zoom performance issues."
"Software Inventory in ZDX","Provides current and historical software version and update information on users' devices."
"Device Inventory in ZDX","Current information about the organization's devices and their associated users."
"ZDX APIs and ITSM Tools","Integrate digital experience insights and trigger remediation workflows."
"ZDX Use Case for Virtual Meetings","Call Quality Monitoring for Microsoft Teams and Zoom."
"User Experience Degradation Notification","Being the first to know when the user experience degrades."
"ZDX Performance Issue Resolution","Rapidly resolving performance issues."
"Network Insights from ZDX","Comprehensive network insights."
"Device Insights from ZDX","Detailed device insights."
"Bad ZDX Score Device Events","VPN tunnel interface changes, Wi-Fi changes, or system restarts."
"High CPU/Traffic Impact","Latency at Zscaler."
"Egress Latency Impact","By sub-optimal routing or ISP issues."
"Real-time Detection of SaaS Outages","Detects outages in SaaS applications in real-time."
"Detecting Home Wi-Fi Issues","Providing visibility into local Wi-Fi signal strength and egress latency."
"Baselining Performance","Comparing performance metrics between office and remote work environments."
